tf	mem
ANKRD17	CHEK1
ANKRD17	CHRNB3
ANKRD17	CNOT2
ANKRD17	CPSF1
ANKRD17	CREBBP
ANKRD17	DICER1
ANKRD17	EIF3M
ANKRD17	EIF4G3
ANKRD17	ESCO2
ANKRD17	FAM152A
ANKRD17	FAM29A
ANKRD17	GART
ANKRD17	GMCL1L
ANKRD17	GNG13
ANKRD17	GTF2H2
ANKRD17	HEATR1
ANKRD17	HIAT1
ANKRD17	HNRPD
ANKRD17	HOXA7
ANKRD17	HPS3
ANKRD17	HSPA4
ANKRD17	ITSN1
ANKRD17	JMJD2C
ANKRD17	KIAA1267
ANKRD17	KIAA1524
ANKRD17	KRR1
ANKRD17	LSM14A
ANKRD17	MAPK1
ANKRD17	METAP2
ANKRD17	MKLN1
ANKRD17	MND1
ANKRD17	MTF2
ANKRD17	NCOA2
ANKRD17	NKTR
ANKRD17	NPTN
ANKRD17	NUDCD3
ANKRD17	NUDT21
ANKRD17	null
ANKRD17	PAN3
ANKRD17	PBRM1
ANKRD17	PCBP2
ANKRD17	PCTK2
ANKRD17	PDS5B
ANKRD17	PLK4
ANKRD17	PNO1
ANKRD17	PPP3CA
ANKRD17	PPP4R2
ANKRD17	PRIM2
ANKRD17	RAD18
ANKRD17	RALGPS2
ANKRD17	RBM34
ANKRD17	RBM6
ANKRD17	RNF10
ANKRD17	RNF19A
ANKRD17	SENP6
ANKRD17	SEPT2
ANKRD17	SIP1
ANKRD17	SMARCC1
ANKRD17	SOS1
ANKRD17	SSB
ANKRD17	STK3
ANKRD17	TBC1D5
ANKRD17	TBCA
ANKRD17	TFCP2
ANKRD17	TNRC6B
ANKRD17	TRPM7
ANKRD17	TRUB1
ANKRD17	TTF2
ANKRD17	UBE2E1
ANKRD17	UBE3C
ANKRD17	UBR3
ANKRD17	USP34
ANKRD17	VPS35
ANKRD17	WDHD1
ANKRD17	WHSC1L1
ANKRD17	WHSC2
ANKRD17	YAF2
ANKRD17	ZBTB20
ANKRD17	ZCCHC7
ANKRD17	ZFR
ANKRD17	ZNF207
ANKRD17	ZNF277
ANKRD17	ZNF292
ANKRD17	ZNF407
ANKRD17	ZNF449
ANKRD17	ZNF493
ANKRD17	ZNF518A
ANKRD17	ZNF609
ANKRD17	ZNF638
AGPAT1	ADCY6
AGPAT1	ALKBH5
AGPAT1	ATF2
AGPAT1	ATP6V0A1
AGPAT1	BAT2
AGPAT1	BAT3
AGPAT1	C7orf27
AGPAT1	CENTB5
AGPAT1	CTSS
AGPAT1	E2F4
AGPAT1	EEF2
AGPAT1	GBF1
AGPAT1	GPR108
AGPAT1	GTF3C1
AGPAT1	HUWE1
AGPAT1	IFIH1
AGPAT1	INPPL1
AGPAT1	KIAA0195
AGPAT1	LMF2
AGPAT1	OTUB1
AGPAT1	PCTK1
AGPAT1	PDCL
AGPAT1	PIK3R2
AGPAT1	PORCN
AGPAT1	PPP2R5D
AGPAT1	RNF123
AGPAT1	RNF208
AGPAT1	RNF214
AGPAT1	RNF40
AGPAT1	SAMD4B
AGPAT1	SCAMP4
AGPAT1	SCAMP5
AGPAT1	SLC35B2
AGPAT1	SLC39A13
AGPAT1	STK11
AGPAT1	TBC1D10B
AGPAT1	TBC1D25
AGPAT1	ZC3H7B
ANAPC2	BAT2
ANAPC2	C7orf27
ANAPC2	CIZ1
ANAPC2	MAP2K2
ANAPC2	SEMA5A
ANKRD23	SRGAP2
ANKRD23	ZNF493
AGL	ACADM
ANKRD44	ARHGAP15
ANKRD44	C16orf54
ANKRD44	CTSS
ANKRD44	DOCK10
ANKRD44	EVI2A
ANKRD44	EVI2B
ANKRD44	FCGR2A
ANKRD44	LILRB1
ANKRD44	PPIL4
ANKRD44	RNF167
ANKRD44	WIPF1
ANKRD44	ZEB2
ANLN	ACACB
ANLN	ACAT2
ANLN	ACOT7
ANLN	AFF1
ANLN	ANKRD32
ANLN	ASPM
ANLN	ATAD2
ANLN	ATAD5
ANLN	AURKA
ANLN	BPTF
ANLN	BRIP1
ANLN	BTG2
ANLN	BUB1
ANLN	BUB1B
ANLN	BUB3
ANLN	C12orf48
ANLN	C13orf34
ANLN	C18orf24
ANLN	C18orf54
ANLN	C1orf112
ANLN	C1orf43
ANLN	C1orf67
ANLN	C21orf45
ANLN	C21orf66
ANLN	C5orf34
ANLN	C6orf173
ANLN	CALCOCO2
ANLN	CASC5
ANLN	CCDC99
ANLN	CCNA2
ANLN	CCNB1
ANLN	CCNE2
ANLN	CCT2
ANLN	CCT6A
ANLN	CDC2
ANLN	CDC25C
ANLN	CDC6
ANLN	CDCA2
ANLN	CDK2
ANLN	CDKN3
ANLN	CENPA
ANLN	CENPE
ANLN	CENPF
ANLN	CENPK
ANLN	CENPN
ANLN	CEP55
ANLN	CEP76
ANLN	CEP78
ANLN	CHEK1
ANLN	CHML
ANLN	CKAP2
ANLN	CLEC14A
ANLN	CRY2
ANLN	CSE1L
ANLN	CST1
ANLN	DEPDC1
ANLN	DEPDC1B
ANLN	DIAPH3
ANLN	DLG7
ANLN	DONSON
ANLN	DTL
ANLN	DYNLL1
ANLN	E2F7
ANLN	ECT2
ANLN	ELOVL6
ANLN	FAM29A
ANLN	FAM33A
ANLN	FAM54A
ANLN	FAM83D
ANLN	FANCI
ANLN	FBXO22
ANLN	FBXO5
ANLN	FIGNL1
ANLN	FLT1
ANLN	FN1
ANLN	FOXD1
ANLN	GGH
ANLN	GGTA1
ANLN	GIMAP4
ANLN	GIMAP5
ANLN	GINS1
ANLN	GPR89A
ANLN	GPSM2
ANLN	HDAC2
ANLN	HELLS
ANLN	HMMR
ANLN	HN1
ANLN	IGF2BP3
ANLN	INSR
ANLN	ITGA9
ANLN	KIAA1524
ANLN	KIF11
ANLN	KIF14
ANLN	KIF15
ANLN	KIF18A
ANLN	KIF23
ANLN	KIF2C
ANLN	KIF4A
ANLN	KPNA2
ANLN	LRP8
ANLN	MAD2L1
ANLN	MANEA
ANLN	MCM4
ANLN	MELK
ANLN	MKI67
ANLN	MLF1IP
ANLN	MND1
ANLN	MPHOSPH1
ANLN	MYH11
ANLN	NAE1
ANLN	NCAPG
ANLN	NCAPG2
ANLN	NEIL3
ANLN	NEK2
ANLN	NETO2
ANLN	NR4A3
ANLN	NUF2
ANLN	PAXIP1
ANLN	PBK
ANLN	PCMTD1
ANLN	PLK1
ANLN	PPAT
ANLN	PPIAL3
ANLN	PRC1
ANLN	PRIM2
ANLN	PSAT1
ANLN	PSRC1
ANLN	RACGAP1
ANLN	RAD18
ANLN	RAD51AP1
ANLN	RAI2
ANLN	RFC3
ANLN	RFC4
ANLN	RFC5
ANLN	ROBO4
ANLN	RPGRIP1L
ANLN	RPS14
ANLN	RRM1
ANLN	RRM2
ANLN	SCD
ANLN	SEC16A
ANLN	SGCA
ANLN	SGOL2
ANLN	SHCBP1
ANLN	SLC7A5
ANLN	SMC2
ANLN	SNRPD1
ANLN	SPAG5
ANLN	SPC25
ANLN	SQLE
ANLN	SRD5A1
ANLN	SRL
ANLN	SSX2IP
ANLN	TARS
ANLN	TCERG1
ANLN	TK1
ANLN	TMEM194
ANLN	TMPO
ANLN	TNS1
ANLN	TNXB
ANLN	TOP2A
ANLN	TPX2
ANLN	TRIP13
ANLN	TTK
ANLN	TTLL12
ANLN	UBE2S
ANLN	UHRF1
ANLN	WDHD1
ANLN	XPOT
ANLN	YWHAQ
ANLN	YWHAZ
ANLN	ZBTB16
ANLN	ZWILCH
ANKFY1	ADAM9
ANKFY1	AKAP10
ANKFY1	C10orf18
ANKFY1	CANX
ANKFY1	CFL1
ANKFY1	COPA
ANKFY1	DCTN4
ANKFY1	ERLIN1
ANKFY1	FAM46C
ANKFY1	FNDC3A
ANKFY1	GTDC1
ANKFY1	HSPA8
ANKFY1	MAP3K7IP2
ANKFY1	MAPK1
ANKFY1	MAT2A
ANKFY1	MCM3AP
ANKFY1	MPDU1
ANKFY1	NCOA2
ANKFY1	PAFAH1B1
ANKFY1	PPFIA1
ANKFY1	PSEN1
ANKFY1	RHBDD2
ANKFY1	RPL14
ANKFY1	SYNJ1
ANKFY1	TM9SF4
ANKFY1	TRRAP
ANKFY1	UBXD2
ANKFY1	UEVLD
ANKFY1	YWHAZ
