geneA_genesym	geneB_genesym
RBM34	RPL37A
RPL37A	RPL5
RBBP5	RPL37A
RPL37A	RPS8
RPL32	RPL37A
NOC3L	RPL37A
BRIX1	RPL37A
RPL37A	RSL24D1
LYAR	RPL37A
DDX10	RPL37A
RPL15	RPL37A
PAK1IP1	RPL37A
FAM199X	RPL37A
RPL23A	RPL37A
GNL2	RPL37A
RPL36	RPL37A
GAR1	RPL37A
RPL37A	RPL7A
CENPN	RPL37A
NSA2	RPL37A
FYTTD1	RPL37A
RPL37A	RPL7L1
MDM2	RPL37A
MPHOSPH10	RPL37A
RPF2	RPL37A
RPL13	RPL37A
BUD13	RPL37A
PPAN-P2RY11	RPL37A
CDK12	RPL37A
RPL30	RPL37A
RPL37A	TTF1
RPL37A	RPS24
RPL37A	ZC3H10
RPL37A	ZNF22
RPL37A	TAF1C
RPL37A	SREK1
IMP4	RPL37A
FUS	RPS27
PAG1	RPS27
POTEF	RPS27
ACTB	RPS27
RPS27	TUBA4A
RPS27	TUBA1A
C8orf47	RPS27
RPS27	SRC
ATP7A	RPS27
RPS27	TUBB3
RPS27	TUBB8
EEF1A1	RPS27
PPP2R5D	RPS27
PPP2R5E	RPS27
RAP1BL	RPS27
POLE4	RPS27
EFHD1	S100A8
ATPBD4	S100A8
S100A8	SMTNL2
ACTB	SCGB1A1
ACTA2	SCGB1A1
BLK	SCGB1A1
CACNA2D2	SCGB1D4
CACNA2D1	SCGB1D4
HSPA5	SCGB1D4
SCGB1D4	TXNDC16
ARSK	SCGB1D4
CNTNAP3	SCGB1D4
BCHE	SCGB1D4
SCARB1	SCGB1D4
ADAM9	SCGB1D4
COL6A2	SCGB1D4
CD109	SCGB1D4
GPR98	SCGB1D4
LNPEP	SCGB1D4
LAMA3	SCGB1D4
PRUNE	SCGB1D4
ERAP1	SCGB1D4
EGFR	SCGB1D4
ITGA8	SCGB1D4
CNNM1	SCGB1D4
CERCAM	SCGB1D4
GYLTL1B	SCGB1D4
RNF130	SCGB1D4
BACE1	SCGB1D4
C6orf120	SCGB1D4
NAALAD2	SCGB1D4
SCGB1D4	TMEM67
LAMB2	SCGB2A2
PLXNA3	SCGB2A2
FLT1	SCGB2A2
GLB1L	SCGB2A2
CRLF1	SCGB2A2
LPCAT4	SCGB2A2
SCGB2A2	TARBP1
SCGB2A2	TTC17
C3orf39	SCGB2A2
PTRH2	SCGB2A2
ARSK	SCGB2A2
PPP1R9A	SCGB2A2
SCGB2A2	SERPINE2
COL14A1	SCGB2A2
EXT1	SCGB2A2
LAMA3	SCGB2A2
LAMA5	SCGB2A2
CNTNAP3	SCGB2A2
ERO1LB	SCGB2A2
ITGA4	SCGB2A2
LOXL2	SCGB2A2
SCGB2A2	SLC27A2
SCGB2A2	SLC25A4
PRSS23	SCGB2A2
SCGB2A2	SEPN1
SCGB2A2	SEMA4D
GPC4	SCGB2A2
C3orf64	SCGB2A2
SCGB2A2	SEMA3C
CHPF2	SCGB2A2
CHSY1	SCGB2A2
CHSY3	SCGB2A2
NAGLU	SCGB2A2
CHST10	SCGB2A2
SCGB2A2	UGT8
GNPAT	SCGB2A2
PTPRG	SCGB2A2
MAN1A2	SCGB2A2
GLG1	SCGB2A2
PTGES2	SCGB2A2
MAN2A1	SCGB2A2
FGFR4	SCGB2A2
