protein_A	protein_B
ARID1A	SMARCA4
ARID1A	SMARCC1
ARID1A	SMARCD2
ARID1A	TFAP4
ARID1A	TP53
ARID1B	RBX1
ARID1B	SMAD2
ARID1B	SMARCA1
ARID1B	SMARCA2
ARID1B	SMARCA4
ARID1B	SMARCC1
ARID3A	E2F4
ARID3A	TP53
ARID3A	TP53BP1
ARID4A	RBBP4
ARID4A	SAP30
ARMC6	PHLDA3
ARMC6	PSMD6
ARMC6	TERF2
ARMCX3	CLTC
ARMCX3	NPM1
ARNT	EP300
ARNT	GTF2F1
ARNT	GTF2F2
ARNT	MTA3
ARNT	NCOR2
ARNT	XPO1
ARPC1A	SH3GLB1
ARPC1B	DR1
ARPC1B	IPO11
ARPC1B	WASL
ASB6	CUL4B
ASB6	XPNPEP1
ASCC1	JUN
ASCC1	RELA
ASCC3	G3BP1
ASCC3	JUN
ASCC3	RELA
ASCC3	SKIL
ASXL1	CEBPA
ASXL1	ESR1
ASXL1	EZH2
ASXL1	NCOA1
ASXL1	RXRA
ATAD2	E2F3
ATAD2	E2F4
ATAD2	ESR1
ATAD2	HDAC11
ATAD3A	ESR1
ATAD3A	PSMD6
ATAD3A	RECQL4
ATAD3A	TRADD
ATAD3B	SHC1
ATAD3B	SMAD2
ATF1	CREBBP
ATF1	EDF1
ATF1	FOSL2
ATF3	CEBPB
ATF3	CREBBP
ATF3	FHL2
ATF3	HDAC1
ATF3	HDAC10
ATF3	HDAC3
ATF3	HDAC4
ATF3	HDAC5
ATF3	JUN
ATF3	JUND
ATF3	MDM2
ATF3	RELA
ATF3	SMAD2
ATF3	SMARCA4
ATF3	SS18L1
ATF3	TP53
ATXN7	EP300
ATXN7	LAMB1
ATXN7	PSMD7
ATXN7	SUPT3H
ATXN7	TAF5L
ATXN7	TAF9
ATXN7	TBP
ATXN7	TRIM27
ATXN7	TRRAP
ATXN7	VWF
BARD1	CHD3
BARD1	CIRBP
BARD1	CSTF1
BARD1	DDX20
BARD1	DDX50
BARD1	ESR1
BARD1	FBXO5
BARD1	GNPAT
BARD1	H2AFX
BARD1	ING5
BARD1	KAT5
BARD1	KPNA3
BARD1	LARP1
BARD1	LARP7
BARD1	MCM6
BARD1	MICAL3
BARD1	MSH2
BARD1	MTA2
BARD1	NPM1
BARD1	PCBP2
BARD1	PIAS4
BARD1	POLR2E
BARD1	PUF60
BARD1	RAD51
BARD1	RBM25
BARD1	RBM39
BARD1	RELA
BARD1	RNGTT
BARD1	SAMHD1
BARD1	SSB
BARD1	TCERG1
BARD1	TP53
BARD1	U2AF2
BARD1	WDR5
BARD1	XRCC5
BARD1	XRCC6
BARD1	YBX1
BAZ2A	DNMT1
BAZ2A	HDAC1
BBX	HDAC1
BCL10	CARD11
BCL10	IKBKB
BCL10	TRADD
BCL11A	HDAC2
BCL11A	MTA2
BCL11A	NR2F2
BCL11A	PIAS3
BCL11A	SIRT1
BHLHE40	BHLHE41
BHLHE40	CHD3
BHLHE40	EZH2
BHLHE40	HDAC1
BHLHE40	MDM2
BHLHE40	NFIL3
BHLHE40	NONO
BHLHE40	PER2
BHLHE40	RXRA
BHLHE40	TP53
BHLHE41	CEBPB
BHLHE41	HDAC1
BHLHE41	NONO
BHLHE41	RORA
BHLHE41	RXRA
BHLHE41	SIRT1
BHLHE41	WDR5
BOP1	GTF2A1
BOP1	WDR12
BOP1	WDR48
BRAP	IKBKB
BRAP	NFKBIB
BRD2	BRD4
BRD2	TBP
BRD2	TERF2
BRD4	CCNT2
BRD4	EP300
BRD4	HEXIM1
BRD4	MED1
BRD4	RBM25
BRD4	SIRT1
BRD4	SMARCA4
BRD4	TCERG1
BRD4	WHSC1
BRD4	WHSC1L1
BRF1	GTF3C3
BRF1	RBL2
BRF1	TBP
BRF1	TP53
BRIP1	PMS1
BRIP1	RPA1
BRPF3	ING5
BTF3	ESR1
BTF3	PDRG1
BUB3	CLIP1
BUB3	HDAC1
BUB3	HDAC2
BUB3	PARP1
BUB3	SF3A2
BUB3	SMAD2
BUB3	SUGT1
BUB3	THRA
CAND2	CNOT3
CANX	HDAC5
CANX	SMURF2
CANX	TCF3
CARD11	STUB1
CASP10	CFLAR
CASP10	DEDD
CASP2	NLRP1
CASP2	NOL3
CASP2	RXRA
CBLL1	ESR1
CBLL1	SFPQ
CBX7	CBX8
CBX7	HDAC2
CBX7	HMGA1
CBX7	SRBD1
CBX7	TPR
CBX8	DGKZ
CBX8	EEF1G
CBX8	EP300
CBX8	IGF2BP2
CBX8	IGF2BP3
CBX8	ILF3
CBX8	KAT5
CBX8	KRR1
CBX8	NFIL3
CBX8	NPM1
CBX8	PAXIP1
CBX8	PCGF3
CBX8	PHC3
CBX8	SPAG9
CBX8	TRIM24
CBX8	YBX1
CCM2	SMURF2
CCNA2	COPS6
CCNA2	EIF2AK2
CCNA2	KAT2B
CCNA2	KRT1
CCNA2	NFYA
CCNA2	NFYB
CCNA2	PSMD4
CCNA2	RPA1
CCNA2	TP53
CCNA2	TRIM33
CCNB1	CDC16
CCNB1	CDC20
CCNB1	CDC27
CCNB1	E2F3
CCNB1	MGMT
CCNB1	PSMD4
CCNB1	PTMA
CCNE1	CREBBP
CCNE1	CUL4B
CCNE1	E2F4
CCNE1	MCM3
CCNE1	NFYB
CCNE1	RBL2
CCNE1	SF3B1
CCNE1	SMARCA2
CCNE1	SMARCA4
CCNE1	SMARCC1
CCNT2	TERF2
CDC16	CDC20
CDC16	COPS2
CDC16	CREBBP
CDC16	DAB2
CDC16	EP300
CDC16	FBXO5
CDC16	HOMER3
CDC16	PAXIP1
CDC16	PHF8
CDC16	SMAD2
CDC16	TP53BP1
CDC16	XRCC5
CDC20	CDC27
CDC20	CREBBP
CDC20	FBXO5
CDC20	FZR1
CDC20	HDAC1
CDC20	HDAC2
CDC20	HSF2
CDC20	ID1
CDC20	PAXIP1
CDC20	PHF8
CDC20	TRIM33
CDC20	TRRAP
CDC27	CREBBP
CDC27	HSF2
CDC27	PAXIP1
CDC27	PHF8
CDC27	SMAD2
CDC27	TP53BP1
CDC27	TRIM33
CDC27	UBE4B
CDC5L	DHX15
CDC5L	HDAC5
CDC5L	MCM3
CDC5L	MCM4
CDC5L	MCM5
CDC5L	PAXIP1
CDC5L	PMS1
CDC5L	PPIE
CDC5L	RPS3
CDC5L	RPS4X
CDC5L	SF3A2
CDC5L	SF3B1
CDC5L	SF3B2
CDC5L	SF3B4
CDC5L	SFPQ
CDC5L	SMARCD1
CDC5L	SPTBN1
CDC5L	TTF2
CDC5L	U2AF2
CDC5L	WDR18
CDC5L	XAB2
CEBPA	CEBPB
CEBPA	E2F4
CEBPA	EDF1
CEBPA	ESR1
CEBPA	HDAC1
CEBPA	HDAC2
CEBPA	JUN
CEBPA	KAT5
CEBPA	MCM5
CEBPA	MSX2
CEBPA	NFATC4
CEBPA	PARP1
CEBPA	RANBP2
CEBPA	RUNX1
CEBPA	SFPQ
CEBPA	SMAD4
CEBPA	SMARCA2
CEBPA	SMARCA4
CEBPA	SP110
CEBPA	SPTBN1
CEBPA	UBTF
CEBPA	VDR
CEBPA	XRCC5
CEBPA	XRCC6
CEBPA	ZEB2
CEBPB	CEBPD
CEBPB	CREB1
CEBPB	CREBBP
CEBPB	DDX49
CEBPB	DEK
CEBPB	EP300
CEBPB	ESR1
CEBPB	FOXO1
CEBPB	HDAC1
CEBPB	HLTF
CEBPB	HMGA1
CEBPB	HMGB2
CEBPB	JUNB
CEBPB	KAT2B
CEBPB	MED23
CEBPB	NCOR1
CEBPB	NCOR2
CEBPB	NFYC
CEBPB	NR2C2
CEBPB	NR2F2
CEBPB	NRF1
CEBPB	PAXIP1
CEBPB	POLR2L
CEBPB	RAD21
CEBPB	RELA
CEBPB	RORA
CEBPB	RUNX1
CEBPB	RXRB
CEBPB	SMAD4
CEBPB	SMARCA2
CEBPB	SMARCA4
CEBPB	SMARCC1
CEBPB	SP3
CEBPB	TAF9
CEBPB	TFAP4
CEBPB	TP53
CEBPB	TP63
CEBPB	TRIM28
CEBPB	ZBTB7A
CEBPD	CREBBP
CEBPD	HDAC1
CEBPD	HDAC3
CEBPD	HDAC4
CEBPD	PIAS4
CEBPD	RELA
CEBPD	SMAD4
CEBPD	XPO1
CFLAR	DEDD
CFLAR	DOK2
CFLAR	SF3B1
CFLAR	STUB1
CFLAR	TP53
CFLAR	XRCC6
CHD3	CREB1
CHD3	CTBP1
CHD3	DDX5
CHD3	ESR1
CHD3	HDAC2
CHD3	HDAC3
CHD3	HIC1
CHD3	JUN
CHD3	MAFG
CHD3	MTA2
CHD3	MTA3
CHD3	MYB
CHD3	NAB2
CHD3	NR1H2
CHD3	PIAS4
CHD3	PUF60
CHD3	RAD21
CHD3	RAD51
CHD3	RBBP4
CHD3	SAFB
CHD3	SIRT1
CHD3	SKIL
CHD3	SMARCA2
CHD3	SMARCC2
CHD3	TAF6
CHD3	TCERG1
CHD3	TP53
