protein_A	protein_B
SF3B2	XAB2
SF3B2	YBX1
SF3B2	ZCCHC10
SF3B4	SNRPB2
SF3B4	SS18L1
SF3B4	TCERG1
SF3B4	TERF2
SF3B4	TIAL1
SF3B4	UBE4B
SF3B4	WDR77
SF3B4	ZC3H11A
SFPQ	SLTM
SFPQ	SMAD5
SFPQ	SMARCA2
SFPQ	SMARCD1
SFPQ	SMC3
SFPQ	SP3
SFPQ	TCERG1
SFPQ	THRA
SFPQ	TOP2B
SFPQ	TPR
SFPQ	TSG101
SFPQ	U2AF2
SFPQ	ZC3HAV1
SHC1	SOS1
SHC1	SOS2
SHC1	SPTBN1
SHC1	STAT5A
SHC1	VARS
SIRT1	SMARCD2
SIRT1	TAF2
SIRT1	TP53
SIRT1	TRIM28
SIRT1	VDR
SIRT1	WDR70
SIRT1	XRCC6
SIRT1	YBX1
SIRT1	ZBTB7A
SIRT1	ZEB1
SIRT3	SNTB1
SIRT3	TTF2
SIRT3	XRCC6
SIVA1	TP53
SKIL	SMAD2
SKIL	SMAD4
SKIL	SMURF2
SKIL	SRP72
SKIL	TTF2
SKIL	WWP1
SKIL	XRCC6
SKIL	ZBTB3
SLTM	TERF2
SLTM	ZC3HAV1
SMAD2	SMAD4
SMAD2	SMAD5
SMAD2	SMARCA4
SMAD2	SMARCC1
SMAD2	SMARCC2
SMAD2	SMURF2
SMAD2	SPTBN1
SMAD2	STUB1
SMAD2	TGIF1
SMAD2	TP53
SMAD2	TP63
SMAD2	TRIM33
SMAD2	U2AF2
SMAD2	WRNIP1
SMAD2	WWP1
SMAD2	YY1
SMAD2	ZEB1
SMAD2	ZEB2
SMAD2	ZMYND11
SMAD4	SMAD5
SMAD4	SPTBN1
SMAD4	STUB1
SMAD4	TFE3
SMAD4	TOB1
SMAD4	TRIM33
SMAD4	WWP1
SMAD4	YY1
SMAD4	ZBTB44
SMAD5	SOX5
SMAD5	STUB1
SMAD5	TOB1
SMAD5	U2AF2
SMAD5	WWP1
SMAD5	ZEB2
SMARCA1	SMARCA4
SMARCA1	SMARCC1
SMARCA1	SMARCC2
SMARCA1	TFPT
SMARCA2	SMARCA4
SMARCA2	SMARCC1
SMARCA2	SMARCD2
SMARCA2	TAF1
SMARCA2	TAF6
SMARCA2	TAF9
SMARCA2	TBP
SMARCA2	TOP2B
SMARCA2	WHSC1L1
SMARCA2	ZMAT3
SMARCA2	ZMYND11
SMARCA4	SMARCC1
SMARCA4	SMARCD2
SMARCA4	SS18L1
SMARCA4	STAT5A
SMARCA4	TCF3
SMARCA4	TOP2B
SMARCA4	TP53
SMARCA4	TRIM28
SMARCA4	VDR
SMARCA4	WDR77
SMARCA4	WHSC1L1
SMARCA4	ZEB1
SMARCA4	ZMYND8
SMARCC1	SMARCD2
SMARCC1	TAF6
SMARCC1	TOP2B
SMARCC1	TP53
SMARCC1	TRIM28
SMARCC1	WHSC1L1
SMARCC2	TAF13
SMARCC2	TAF6
SMARCC2	TFAP4
SMARCC2	TOP2B
SMARCC2	TSG101
SMARCD1	TP53
SMARCD1	TP53BP1
SMARCD2	TOP2B
SMARCD2	TP53
SMARCD2	TP63
SMARCE1	TFAP4
SMARCE1	TFE3
SMARCE1	TOP2B
SMC3	TERF2
SMU1	YBX1
SMURF2	TRAF4
SMURF2	ZBTB44
SNTA1	XRCC6
SOX5	TTC1
SP3	TFAP4
SP3	TP53
SP3	YY1
SP3	ZBTB7B
SPAG9	TP53BP1
SPG7	TRIM28
SS18L1	TAF9B
SS18L1	WHSC1L1
SSB	STUB1
SSB	YBX1
SSBP2	TRIM33
SSBP4	TRIM33
SSRP1	TRIM33
SSRP1	XRCC5
STAP2	STAT5A
STAT4	TRIM28
STUB1	TERF2
STUB1	TP53
SUGT1	WDR12
SUPT3H	TAF4
SUPT3H	TAF5L
SUPT3H	TAF9
SUPT3H	TCF3
SUPT3H	TP53
SUPT3H	TRRAP
SYNCRIP	TP63
SYNCRIP	U2AF2
SYNCRIP	YBX1
TAF1	TAF13
TAF1	TAF2
TAF1	TAF4
TAF1	TAF6
TAF1	TAF9
TAF1	TAF9B
TAF1	TBP
TAF1	TP53
TAF1	UBTF
TAF13	TAF15
TAF13	TAF2
TAF13	TAF4
TAF13	TAF6
TAF13	TAF9
TAF13	TAF9B
TAF13	TBP
TAF15	TBP
TAF15	TPR
TAF2	TAF6
TAF2	TAF9
TAF2	TBP
TAF2	TERF2
TAF4	TAF6
TAF4	TAF9
TAF4	TAF9B
TAF4	TBP
TAF4	TRRAP
TAF5L	TAF9
TAF5L	TP53
TAF6	TAF9
TAF6	TAF9B
TAF6	TBP
TAF6	TP53
TAF6	TRRAP
TAF9	TAF9B
TAF9	TBP
TAF9	TP53
TAF9	TRRAP
TAF9B	TBP
TAF9B	TRRAP
TBL1X	THRA
TBP	TP53
TBP	UBTF
TBP	ZNF76
TCEA2	TNPO1
TCERG1	U2AF2
TCF3	TFAP4
TCF3	TRIM33
TCF3	TRRAP
TCF3	VDR
TCF3	YY1
TCF4	TRIM33
TCF7L2	XRCC5
TCF7L2	XRCC6
TCOF1	TERF2
TCOF1	UBTF
TCOF1	WDR48
TERF2	TFAP4
TERF2	TNKS
TERF2	TOP3A
TERF2	TOX4
TERF2	U2AF2
TERF2	WDR4
TERF2	WDR5
TERF2	XRCC5
TERF2	XRCC6
TERF2	YY1
TERF2	ZGPAT
TERF2	ZKSCAN4
TERF2	ZNF281
TFAP2A	TP53
TFAP2A	YBX1
TFAP2A	YY1
TFAP2C	TP53
TFAP4	TP53
TFAP4	TTF2
TFAP4	USF2
TFAP4	WIZ
TFAP4	XRCC5
TFAP4	ZBTB7A
TFAP4	ZBTB7B
TFAP4	ZNF335
TFDP1	TP53
TFDP1	TP53BP1
TFE3	TRIM28
TFE3	VARS
TFPT	YY1
THAP1	U2AF2
THAP1	ZCCHC10
THOC6	TPR
THOC6	U2AF2
THRA	TRIM24
THRA	XRCC5
THRA	XRCC6
THRA	ZBTB3
TIA1	TOB1
TNFAIP3	TP53
TNFAIP3	TRIM3
TNFAIP3	TRIM5
TOE1	TP53
TOE1	WDR77
TOMM34	WDR12
TOMM70A	TRADD
TOP2B	TP53
TOP2B	XPC
TP53	TP53BP1
TP53	TP63
TP53	TRIM24
TP53	TRIM27
TP53	TRIM28
TP53	TRRAP
TP53	TSG101
TP53	UBE4B
TP53	USO1
TP53	VDR
TP53	WDR48
TP53	WDR5
TP53	XPO1
TP53	XRCC6
TP53	YBX1
TP53	YY1
TP53	ZBTB2
TP53	ZBTB7A
TP53	ZCCHC10
TP53	ZMYND11
TP53	ZNF148
TP53	ZNF24
TP53BP1	XRCC5
TP53BP1	XRCC6
TP63	UACA
TP63	UBE4B
TP63	UPF2
TP63	WWP1
TPR	TRIM29
TPR	U2AF2
TRADD	ZMYND11
TRIM11	TRIM27
TRIM11	TRIM29
TRIM24	TRIM28
TRIM24	TRIM33
TRIM25	ZFHX3
TRIM25	ZNF24
TRIM27	TRIM29
TRIM27	TRIM32
TRIM27	ZNF417
TRIM28	TRIM33
TRIM28	WRNIP1
TRIM28	ZNF552
TRIM32	TRIM5
TRMT1	XRCC5
TRMT1	ZNF598
TRRAP	VDR
TRRAP	ZNF148
TSG101	WDR12
TSG101	XPO1
UBE4B	XPC
UBTF	WDR70
UPF2	XRN2
UTP20	ZBTB7A
WASL	WWP1
WASL	ZNF395
WASL	ZNF638
WDHD1	YY1
WDR12	WDR5
WDR12	XPO1
WDR48	WDR70
WDR48	ZBTB2
WDR48	ZNF639
WDR5	ZNF335
WDR77	ZNF207
WWP1	ZNF638
XBP1	ZNF580
XPO1	XRN2
XRCC5	YY1
XRCC6	YY1
YY1	ZNF24
YY1	ZNF638
ZBTB43	ZNF417
ZBTB7A	ZBTB7B
ZBTB7A	ZMYND8
ZBTB9	ZNF407
HMG20B	RAD51
RBX1	RELA
DDX5	NONO
DDX5	SFPQ
EZH2	MTA2
DHX30	PARP1
DHX30	NPM1
MSH2	TRRAP
EAF1	RUVBL1
EAF1	RUVBL2
DMAP1	EAF1
HDAC1	ZGPAT
HDAC2	ZGPAT
MTA2	ZGPAT
CREB1	PBX1
GRWD1	RFWD2
CFLAR	TRADD
TAF2	TAF4
CTR9	RNF40
CTR9	RNF20
GTF2F1	WDR77
EAF1	KAT5
MED1	TAF4
FKBP4	PA2G4
FKBP4	SH3GLB1
PA2G4	SH3GLB1
CASP10	TRADD
ATF3	EP300
NCOR2	ZMYND8
HDAC4	ZMYND8
KAT2B	NFYA
CCNE1	RBX1
DHX9	RPA1
KAT2B	SMARCA4
JUN	TCF4
JUN	SMAD4
MCM5	TRIM28
CBX8	TBP
CCNB1	CCNB2
KPNA3	KPNA5
KPNA3	NUTF2
KPNA5	NUTF2
DMD	KRT8
DMD	KRT19
KRT19	KRT8
CTBP1	RBPJ
IKBKB	MYD88
CREBBP	STAT5A
PARP1	SMARCA4
PARP1	SMARCC2
PARP1	SMARCD2
HDLBP	XRCC6
SMAD4	TGIF1
SMG7	UPF2
HDAC1	NCOR1
CPSF1	CSTF1
HDAC1	RBPJ
HMG20B	ZNF217
FKBP5	NFKBIB
DNMT1	E2F5
DNMT1	RBL2
E2F5	HDAC1
RBX1	WSB1
KAT2B	PARP1
TOP2B	XRCC5
KAT2B	TOP2B
KAT2B	XRCC5
HDAC2	MNAT1
RPA1	XRCC6
RPA1	XRCC5
EIF2S1	XRCC6
EIF2S1	ILF3
EIF2S1	XRCC5
ILF3	XRCC5
JDP2	JUNB
NPM1	RPA1
NPM1	RUVBL1
RPA1	RUVBL1
CTBP1	SMARCA4
RBPJ	YY1
HDAC1	HDAC3
SMG6	SMG7
SMG6	UPF2
E2F4	E2F5
E2F4	SMAD4
E2F5	SMAD4
SMAD4	TFDP1
COPS3	TP53
COPS6	TP53
KAT5	SMARCA4
MED1	TAF6
MED1	TBP
ELL	MED1
ELL	TAF6
ELL	TBP
METAP2	PA2G4
BARD1	CSTF3
E2F4	EP300
EP300	RBL2
NCOR1	SMAD2
CREBBP	MED1
DEK	RBM8A
HDAC2	HDAC3
HDAC2	NCOR1
GTF2F1	SMARCA2
GTF2F1	SMARCA4
MCM7	XRCC6
ARID3A	GTF2I
HDAC1	LMO7
HDAC3	LMO7
AHR	CUL4B
DDX21	DHX9
DDX21	SSRP1
DDX42	SF3B2
NONO	PARP1
H2AFX	NONO
PARP1	USF2
TOP2B	XRCC6
USF2	XRCC6
KAT2B	XRCC6
TOP2B	USF2
USF2	XRCC5
KAT2B	USF2
CPSF4	CSTF3
GTF2F1	SMARCC1
GTF2F1	SMARCC2
AHR	RBX1
ARNT	CUL4B
ARNT	RBX1
RNF14	RNF6
DDX5	ILF3
DDX5	SART3
DDX5	ZBP1
ILF3	SART3
ILF3	ZBP1
YBX1	ZBP1
SART3	ZBP1
IKBKB	TRADD
KRT1	MYB
ANKRD28	SHC1
ANKFY1	FKBP4
ANKFY1	PA2G4
PARP1	TERF2
E2F4	RBBP4
ARID1A	CREBBP
EP300	SMARCA4
EP300	SMARCC1
EP300	SMARCC2
ARID1A	EP300
TRIM28	WIZ
WWTR1	YBX1
RPS3	UPF2
DNMT1	E2F4
RNF40	TP53
CCNT2	TAF1
CCNT2	TAF4
CCNT2	TAF6
CCNT2	ELL
CCNT2	EAF1
ELL	TAF1
EAF1	TAF1
ELL	TAF4
EAF1	TAF4
EAF1	TAF6
TAF2	TRRAP
SUPT3H	TAF2
TAF2	TAF5L
TAF4	TAF5L
TAF5L	TRRAP
ETS1	PARP1
ETS1	XRCC6
ETS1	XRCC5
NFATC1	RELA
DTL	GRWD1
HDAC1	KAT2B
FHL2	TP53
PTBP1	PTBP2
NCOA1	RELA
KPNA1	PARP1
KPNA3	PARP1
KPNA1	KPNA3
KPNA3	NPM1
BCL10	PYCARD
CTR9	SKIV2L
RAI14	WRNIP1
NONO	YBX1
CSTF3	NPM1
DDX49	EIF2AK2
NPM1	RBBP7
NPM1	RUVBL2
RBBP4	RUVBL1
RBBP4	RUVBL2
RBBP7	RUVBL1
RBBP7	RUVBL2
ILF3	MCM5
DDX17	PARP1
DDX17	XRCC6
NUP133	RANBP2
CREBBP	SIRT1
NPM1	PABPN1
CPSF1	PABPN1
HDAC3	TP53
SMARCA4	TBP
CTNND1	FKBP4
CTNND1	FKBP5
FKBP4	FKBP5
AR	CTNNBIP1
SNTA1	SNTB1
DDX5	NCOR1
HDAC3	RBPJ
HEXIM1	TBP
TBP	U2AF2
LARP7	TBP
HEXIM1	U2AF2
LARP7	U2AF2
CPSF1	PCBP2
CCNB1	SIRT1
PSMD11	TNPO1
NFATC2	PSMD11
MIER1	RBBP4
KPNA3	ZMYND11
DDX3X	FOXK2
DDX3X	FOXK1
FOXK1	FOXK2
ETS1	TCF3
MIER1	WIZ
EHMT1	MIER1
EHMT1	WIZ
HDAC1	TRIM33
CBX8	HDAC1
HDAC2	TRIM28
HDAC2	TRIM33
CBX8	HDAC2
CBX8	TRIM28
CBX8	TRIM33
COL18A1	DNM2
DDX5	PARP1
DDX5	SSRP1
HDAC1	SSRP1
CREBBP	RBL2
FOXO3	SMAD2
DHX9	SYNCRIP
NONO	PABPC4
CCNA2	CCNB1
CCNA2	CCNB2
CPSF1	TP53
CUL4B	EZH2
ATAD3B	FKBP5
DICER1	TNRC6A
CUL4B	RBBP4
DDX5	RBM14
CUL4B	JARID2
IGF2BP3	PRKRA
IGF2BP2	PRKRA
DHX30	PRKRA
IGF2BP2	IGF2BP3
DHX30	IGF2BP3
DHX30	IGF2BP2
EZH2	RBX1
EZH1	HDAC2
EZH1	RBBP4
EZH1	RBBP7
RAE1	WDFY3
RBBP4	RBX1
MCM5	SMC3
MCM7	SMC3
ASXL1	FOXA1
SH3GLB1	ZNF207
TOE1	ZNF207
WDR36	ZNF207
SH3GLB1	TOE1
SH3GLB1	WDR36
TOE1	WDR36
NCOR2	PHF8
MCM3	SMC3
MCM4	SMC3
MCM6	SMC3
AR	EZH2
AR	HDAC2
DHX15	U2AF2
DHX15	PRPF19
CARD11	IKBKB
AKT1	STAT5A
NPM1	WDR18
CREB1	MYB
FOSL2	YY1
JUN	YY1
KARS	SYNCRIP
DAPP1	INPP5D
BRAP	RELA
