TF	genetarget
BUB3	TFAM
BUB3	TIMELESS
BUB3	TMEM68
BUB3	TXNDC12
BUB3	UBE2I
BUB3	UCK2
BUB3	XPO5
BUB3	ZBTB4
BUB3	ZNF207
BUB3	ZNF44
CASP10	KRTAP3-1
CASP10	NKX1-1
CANX	ACLY
CANX	AKAP10
CANX	ANKFY1
CANX	ANKHD1-EIF4EBP3
CANX	ARFGEF1
CANX	CTNNA1
CANX	DDX3X
CANX	EXOC5
CANX	GTF2I
CANX	HSPD1
CANX	LAMP1
CANX	LMBR1
CANX	PGRMC1
CANX	PRKDC
CANX	PSEN1
CANX	RBBP4
CANX	RPN2
CANX	SMARCC1
CANX	TMEM30A
CANX	TRAM1
CANX	UFM1
CANX	YWHAZ
CASP2	CLSPN
CASP2	CWF19L1
CASP2	FKBP15
CASP2	KCNH2
CASP2	MRPL52
CASP2	NUDCD2
CASP2	PIP4K2B
CASP2	PTGES2
CASP2	SDAD1
CBLL1	C9orf114
CBLL1	CASP2
CBLL1	CHAC2
CBLL1	EIF3M
CBLL1	IPO11
CBLL1	RAD18
CBLL1	TFAM
CBLL1	TTF2
CBLL1	WDR89
CBLL1	XRCC4
CCM2	TAF5L
CCNA2	ASAH1
CCNA2	AURKA
CCNA2	BIRC5
CCNA2	BRCA1
CCNA2	BUB1
CCNA2	BUB3
CCNA2	C18orf54
CCNA2	C2orf49
CCNA2	C9orf40
CCNA2	CCNB2
CCNA2	CCNE2
CCNA2	CDC20
CCNA2	CDK2
CCNA2	CDT1
CCNA2	CENPH
CCNA2	CEP78
CCNA2	CFLAR
CCNA2	DEPDC1
CCNA2	DES
CCNA2	DIAPH3
CCNA2	E2F1
CCNA2	ECT2
CCNA2	EEF1E1
CCNA2	FBXO5
CCNA2	HELLS
CCNA2	HMMR
CCNA2	HNRNPA2B1
CCNA2	KIF14
CCNA2	KIF20A
CCNA2	KIF4A
CCNA2	KNTC1
CCNA2	LRRK2
CCNA2	MCAM
CCNA2	MKI67
CCNA2	MPP6
CCNA2	MSH2
CCNA2	MTDH
CCNA2	MTHFD1L
CCNA2	NR4A3
CCNA2	PAICS
CCNA2	PLK4
CCNA2	PRKDC
CCNA2	PSMC3IP
CCNA2	PSRC1
CCNA2	RAD18
CCNA2	RCC1
CCNA2	RFC5
CCNA2	RPGRIP1L
CCNA2	SEC16A
CCNA2	SGOL2
CCNA2	SLBP
CCNA2	SLC7A5
CCNA2	SMARCC1
CCNA2	SMC2
CCNA2	SNRPD1
CCNA2	TK1
CCNA2	TTF2
CCNA2	UBE2C
CCNA2	UCK2
CCNA2	UHRF1
CCNA2	WDHD1
CCNA2	YEATS4
CCNA2	ZNF326
CCNA2	ZNF451
CCNB2	AURKA
CCNB2	BIRC5
CCNB2	BUB1
CCNB2	BUB3
CCNB2	C9orf40
CCNB2	CBX2
CCNB2	CBX5
CCNB2	CCT3
CCNB2	CDC20
CCNB2	CDCA5
CCNB2	CDK4
CCNB2	CDT1
CCNB2	CENPM
CCNB2	CEP78
CCNB2	DDX46
CCNB2	DEPDC1
CCNB2	DGUOK
CCNB2	DIAPH3
CCNB2	DTYMK
CCNB2	E2F1
CCNB2	ECT2
CCNB2	EEF1E1
CCNB2	FAM107A
CCNB2	FANCG
CCNB2	FBXO5
CCNB2	FRRS1
CCNB2	GINS2
CCNB2	GJC2
CCNB2	GMDS
CCNB2	GMNN
CCNB2	HELLS
CCNB2	HMMR
CCNB2	KIF14
CCNB2	KIF20A
CCNB2	KIF4A
CCNB2	LMNB2
CCNB2	LRRK2
CCNB2	MCM3
CCNB2	MKI67
CCNB2	MSH2
CCNB2	MTHFD1L
CCNB2	MYCN
CCNB2	MYO19
CCNB2	NASP
CCNB2	NDE1
CCNB2	NDUFA4L2
CCNB2	NEIL3
CCNB2	NME1-NME2
CCNB2	NUP155
CCNB2	PAICS
CCNB2	PARP10
CCNB2	PCNA
CCNB2	PDCD2
CCNB2	PGAM5
CCNB2	PIF1
CCNB2	PLK4
CCNB2	POLQ
CCNB2	PRDX4
CCNB2	PRIM1
CCNB2	PSRC1
CCNB2	PTTG1
CCNB2	RAN
CCNB2	RCC1
CCNB2	RFC2
CCNB2	RFC4
CCNB2	RFC5
CCNB2	RPP40
CCNB2	SAAL1
CCNB2	SGOL2
CCNB2	SLBP
CCNB2	SLC7A5
CCNB2	SMARCC1
CCNB2	SMC2
CCNB2	SNRPB
CCNB2	SNRPD1
CCNB2	SNRPD3
CCNB2	STX5
CCNB2	TAAR5
CCNB2	TIMELESS
CCNB2	TK1
CCNB2	TMEM68
CCNB2	UBE2C
CCNB2	UCK2
CCNB2	XPO5
CCNB2	ZBTB47
CCNB2	ZFHX3
CCNB2	ZNF207
CCNB1	ACAT2
CCNB1	ACTL6A
CCNB1	AQP1
CCNB1	AURKA
CCNB1	BIRC5
CCNB1	BUB1
CCNB1	BUB3
CCNB1	C2orf49
CCNB1	C5orf34
CCNB1	CBX5
CCNB1	CCNB2
CCNB1	CCNE2
CCNB1	CDC20
CCNB1	CDCA5
CCNB1	CDT1
CCNB1	CENPH
CCNB1	CENPM
CCNB1	CEP78
CCNB1	CFLAR
CCNB1	CHAC2
CCNB1	CSTF2
CCNB1	DEPDC1
CCNB1	DGUOK
CCNB1	DIAPH3
CCNB1	DNA2
CCNB1	DTYMK
CCNB1	DUT
CCNB1	EBNA1BP2
CCNB1	ECT2
CCNB1	EEF1E1
CCNB1	FANCG
CCNB1	FBXO5
CCNB1	GINS2
CCNB1	GMNN
