Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
ALOX12_mrna	ALOX12	mrna	JUN_prot;RUNX1_prot;SP3_prot	3
AMD1_mrna	AMD1	mrna	JUN_prot	1
AMDHD2_mrna	AMDHD2	mrna	BHLHE40_prot;DDX51_prot;TRIM5_prot;TTC28_prot	4
AMOTL1_mrna	AMOTL1	mrna	NR2F2_prot	1
AMZ2_mrna	AMZ2	mrna	IGHMBP2_prot;LMO7_prot;PATZ1_prot;RAD21_prot;SMARCC1_prot;UACA_prot;WHSC1_prot	7
ANAPC11_prot	ANAPC11	prot	BOLA3_mrna;CKAP5_mrna;CLPP_mrna;GUCY1A3_mrna;MPP6_mrna;MRPL11_mrna;MRPL53_mrna;MRPS11_mrna;PDXP_mrna;RFC5_mrna;ANAPC1_prot;CCNB1_prot;CDC16_prot;CDC20_prot;CDC27_prot	15
ANAPC1_prot	ANAPC1	prot	AK2_mrna;BID_mrna;BMS1_mrna;BUB3_mrna;C14orf2_mrna;C1QBP_mrna;C2orf49_mrna;C9orf114_mrna;CCT7_mrna;CCT8_mrna;CDC123_mrna;DDX46_mrna;DDX47_mrna;GINS2_mrna;HMGN3_mrna;MKI67_mrna;MRPL11_mrna;NOL11_mrna;NOLC1_mrna;PAICS_mrna;PRIM1_mrna;RAN_mrna;RPLP0_mrna;RPP40_mrna;SAAL1_mrna;SNRPB_mrna;SOCS3_mrna;TIMM10_mrna;TTC27_mrna;ZC3H8_mrna;ANAPC11_prot;CDC16_prot;CDC20_prot;CDC27_prot;COPS2_prot;PAXIP1_prot;PHF8_prot;TP53BP1_prot;TRIM33_prot	39
ANGPTL6_mrna	ANGPTL6	mrna	RAD21_prot	1
ANG_mrna	ANG	mrna	JUN_prot	1
ANK1_mrna	ANK1	mrna	ELF1_prot;HDAC2_prot;TAF1_prot	3
ANK1_prot	ANK1	prot	CLYBL_mrna;MBD6_mrna;MYO18A_mrna;SPTBN1_prot	4
ANK2_prot	ANK2	prot	DIP2C_mrna;SORBS1_mrna;TNFRSF10A_mrna;ANKRD28_prot;DMD_prot;SPTBN1_prot	6
ANK3_mrna	ANK3	mrna	ELF1_prot;HDAC2_prot;TAF1_prot	3
ANKFY1_mrna	ANKFY1	mrna	CANX_prot;HDAC1_prot;SYNJ1_prot	3
ANKFY1_prot	ANKFY1	prot	AKAP10_mrna;CANX_mrna;CFL1_mrna;MCM3AP_mrna;PSEN1_mrna;RPL14_mrna;YWHAZ_mrna;ANKRD28_prot;FKBP4_prot;PA2G4_prot	10
ANKHD1-EIF4EBP3_mrna	ANKHD1-EIF4EBP3	mrna	CANX_prot;DDX3X_prot;DDX42_prot;E2F4_prot;ELK1_prot;FOXA1_prot;GTF2I_prot;JUND_prot;KBTBD2_prot;PRPF4_prot;PSMD12_prot;RXRB_prot;SMARCC1_prot;SMG7_prot;XRN2_prot;ZNF143_prot;ZNF146_prot	17
ANKHD1_mrna	ANKHD1	mrna	JUND_prot;ZNF143_prot	2
ANKH_mrna	ANKH	mrna	EZH2_prot	1
ANKIB1_prot	ANKIB1	prot	PPP1CB_mrna;ZNF12_mrna	2
ANKMY2_mrna	ANKMY2	mrna	SP2_prot	1
ANKRD10_mrna	ANKRD10	mrna	CPSF1_prot;ELF1_prot	2
ANKRD11_mrna	ANKRD11	mrna	YTHDC1_prot	1
ANKRD11_prot	ANKRD11	prot	UBR5_mrna;HDAC3_prot	2
ANKRD12_mrna	ANKRD12	mrna	RBM25_prot;TNKS_prot	2
ANKRD13D_mrna	ANKRD13D	mrna	PHF8_prot	1
ANKRD16_prot	ANKRD16	prot	CD2BP2_mrna;PAICS_mrna	2
ANKRD17_mrna	ANKRD17	mrna	CPSF1_prot;CREBBP_prot;DICER1_prot;HEATR1_prot;JUND_prot;KRR1_prot;METAP2_prot;PCBP2_prot;PNO1_prot;SMARCC1_prot;SOS1_prot;SSB_prot;TTF2_prot;WDHD1_prot;WHSC1L1_prot;ZBTB20_prot;ZNF207_prot;ZNF407_prot;ZNF638_prot	19
ANKRD17_prot	ANKRD17	prot	C11orf58_mrna;CASD1_mrna;CCDC88A_mrna;DICER1_mrna;EIF3M_mrna;GNG13_mrna;KRR1_mrna;NPTN_mrna;NUDCD3_mrna;PCBP2_mrna;PLK4_mrna;PNO1_mrna;PPP3CA_mrna;PPP4R2_mrna;RAD18_mrna;RNF10_mrna;RNF19A_mrna;SENP6_mrna;SMARCC1_mrna;SOS1_mrna;SSB_mrna;TFCP2_mrna;TNRC6B_mrna;TTF2_mrna;WDHD1_mrna;ZCCHC7_mrna;ZNF207_mrna;ZNF277_mrna;ZNF449_mrna;ZNF493_mrna;FOSL2_prot;NFKBIE_prot	32
ANKRD23_mrna	ANKRD23	mrna	COPE_prot	1
ANKRD28_prot	ANKRD28	prot	DLG1_mrna;TIMM8A_mrna;ZFAND3_mrna;ANK2_prot;ANKFY1_prot;EEF1G_prot;NFKBIE_prot;SHC1_prot;TNKS_prot;UACA_prot	10
ANKRD39_mrna	ANKRD39	mrna	MRPS12_prot;WDR18_prot	2
ANKRD39_prot	ANKRD39	prot	BOLA3_mrna;CARD9_mrna;CCT7_mrna;CLPP_mrna;COPS8_mrna;LARS2_mrna;PMPCA_mrna;PPP1R7_mrna;PSTK_mrna;TMEM177_mrna;VDAC3_mrna;CUL4B_prot	12
ANKRD46_mrna	ANKRD46	mrna	CCNT2_prot;CEBPB_prot	2
ANKS6_mrna	ANKS6	mrna	FOXA1_prot	1
ANTXR1_prot	ANTXR1	prot	CALD1_mrna;COL4A1_mrna;PPP4R2_mrna;PRICKLE2_mrna;SPARC_mrna;ERF_prot	6
ANXA8_mrna	ANXA8	mrna	ZNF638_prot	1
AP1M1_mrna	AP1M1	mrna	COPE_prot;DNM2_prot	2
AP1S3_mrna	AP1S3	mrna	CUL4B_prot	1
